Dataset,Points,TrajSP,Adaptive,QT,Linear,Curve,Best
Geolife (原始),99999,7.525585,7.186202,9.570916,7.180252,9.749737,Linear
Geolife (5x降采样),19999,14.813541,14.412171,16.256013,15.404770,18.883144,Adaptive
Geolife (10x降采样),9999,18.590259,18.097510,19.694369,19.506751,23.409541,Adaptive
Geolife (20x降采样),4999,22.741148,22.149630,23.400280,23.926385,27.753951,Adaptive
Geolife (40x降采样),2499,26.660264,26.026811,27.001200,28.296919,32.216086,Adaptive
Track (原始),63529,7.119709,6.274709,9.791749,6.274835,10.056100,Adaptive
Track (5x降采样),12705,12.616686,12.345140,16.913656,12.993152,15.167257,Adaptive
Track (10x降采样),6352,17.197890,16.779597,20.681045,18.237406,20.898615,Adaptive
Track (20x降采样),3176,22.744018,22.195529,25.146096,23.991184,27.804786,Adaptive
Track (40x降采样),1588,28.055416,27.468514,30.042821,29.047859,33.191436,Adaptive
Trajectory (原始),97008,8.160348,7.297780,10.965982,7.495011,10.603002,Adaptive
Trajectory (5x降采样),19401,11.755167,11.589196,15.830524,11.724447,14.001649,Adaptive
Trajectory (10x降采样),9700,11.905052,11.624021,15.606598,12.178557,15.255464,Adaptive
Trajectory (20x降采样),4850,16.620000,16.195258,19.049485,17.584742,22.094433,Adaptive
Trajectory (40x降采样),2425,22.256495,21.638763,23.415258,23.802887,29.402062,Adaptive
