Dataset,Points,TrajSP_BPP,Adaptive_BPP,Simple_BPP,QT_BPP,Linear_BPP,Curve_BPP,Best
Geolife (原始),99999,7.525585,7.525585,7.195022,9.570916,7.180252,9.749737,Linear
Geolife (5x降采样),19999,14.813541,14.813541,14.431072,16.256013,15.404770,18.883144,Simple
Geolife (10x降采样),9999,18.590259,18.590259,18.105511,19.694369,19.506751,23.409541,Simple
Geolife (20x降采样),4999,22.741148,22.741148,22.163233,23.400280,23.926385,27.753951,Simple
Geolife (40x降采样),2499,26.660264,26.660264,26.043617,27.001200,28.296919,32.216086,Simple
Track (原始),63529,7.119709,7.119709,6.286515,9.791749,6.274835,10.056100,Linear
Track (5x降采样),12705,12.616686,12.616686,12.358835,16.913656,12.993152,15.167257,Simple
Track (10x降采样),6352,17.197890,17.197890,16.792506,20.681045,18.237406,20.898615,Simple
Track (20x降采样),3176,22.744018,22.744018,22.210957,25.146096,23.991184,27.804786,Simple
Track (40x降采样),1588,28.055416,28.055416,27.488665,30.042821,29.047859,33.191436,Simple
Trajectory (原始),97008,8.160348,8.160348,7.319706,10.965982,7.495011,10.603002,Simple
Trajectory (5x降采样),19401,11.755167,11.755167,11.604041,15.830524,11.724447,14.001649,Simple
Trajectory (10x降采样),9700,11.905052,11.905052,11.658660,15.606598,12.178557,15.255464,Simple
Trajectory (20x降采样),4850,16.620000,16.620000,16.233196,19.049485,17.584742,22.094433,Simple
Trajectory (40x降采样),2425,22.256495,22.256495,21.655670,23.415258,23.802887,29.402062,Simple
