Dataset,Points,TrajSP_BPP,Simple_BPP,QT_BPP,Linear_BPP,Curve_BPP,TrajSP_MaxErr,TrajSP_AvgErr,Simple_MaxErr,Simple_AvgErr,QT_MaxErr,QT_AvgErr,Linear_MaxErr,Linear_AvgErr,Curve_MaxErr,Curve_AvgErr,Best
Geolife (原始),99999,7.525585,7.195022,9.570916,7.180252,9.749737,1.411385e-05,7.649693e-06,1.411384e-05,7.649693e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,Linear
Geolife (5x降采样),19999,14.813541,14.431072,16.256013,15.404770,18.883144,1.407143e-05,7.646150e-06,1.407144e-05,7.646150e-06,1.407149e-05,7.658628e-06,1.407495e-05,7.658637e-06,0.000000e+00,0.000000e+00,Simple
Geolife (10x降采样),9999,18.590259,18.105511,19.694369,19.506751,23.409541,1.400097e-05,7.629130e-06,1.400097e-05,7.629130e-06,1.402900e-05,7.663002e-06,1.403124e-05,7.662997e-06,0.000000e+00,0.000000e+00,Simple
Geolife (20x降采样),4999,22.741148,22.163233,23.400280,23.926385,27.753951,1.408560e-05,7.646054e-06,1.408560e-05,7.646054e-06,1.402900e-05,7.662354e-06,1.402963e-05,7.662352e-06,0.000000e+00,0.000000e+00,Simple
Geolife (40x降采样),2499,26.660264,26.043617,27.001200,28.296919,32.216086,1.372140e-05,7.671289e-06,1.372140e-05,7.671289e-06,1.390207e-05,7.639822e-06,1.390213e-05,7.639823e-06,0.000000e+00,0.000000e+00,Simple
Track (原始),63529,7.119709,6.286515,9.791749,6.274835,10.056100,1.409971e-05,7.610861e-06,1.410821e-05,7.610831e-06,1.405728e-05,7.680881e-06,1.405592e-05,7.680853e-06,0.000000e+00,0.000000e+00,Linear
Track (5x降采样),12705,12.616686,12.358835,16.913656,12.993152,15.167257,1.407150e-05,7.651773e-06,1.407150e-05,7.651773e-06,1.402911e-05,7.674840e-06,1.402920e-05,7.674829e-06,0.000000e+00,0.000000e+00,Simple
Track (10x降采样),6352,17.197890,16.792506,20.681045,18.237406,20.898615,1.381896e-05,7.652479e-06,1.381896e-05,7.652479e-06,1.400083e-05,7.664851e-06,1.400082e-05,7.664838e-06,0.000000e+00,0.000000e+00,Simple
Track (20x降采样),3176,22.744018,22.210957,25.146096,23.991184,27.804786,1.405740e-05,7.610853e-06,1.405740e-05,7.610853e-06,1.400083e-05,7.721348e-06,1.400083e-05,7.721356e-06,0.000000e+00,0.000000e+00,Simple
Track (40x降采样),1588,28.055416,27.488665,30.042821,29.047859,33.191436,1.401486e-05,7.635484e-06,1.401486e-05,7.635484e-06,1.400083e-05,7.773455e-06,1.400083e-05,7.773454e-06,0.000000e+00,0.000000e+00,Simple
Trajectory (原始),97008,8.160348,7.319706,10.965982,7.495011,10.603002,1.407745e-05,7.600167e-06,1.408419e-05,7.597889e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,Simple
Trajectory (5x降采样),19401,11.755167,11.604041,15.830524,11.724447,14.001649,1.401522e-05,7.621041e-06,1.401513e-05,7.621043e-06,1.401492e-05,7.587511e-06,1.401535e-05,7.587490e-06,0.000000e+00,0.000000e+00,Simple
Trajectory (10x降采样),9700,11.905052,11.658660,15.606598,12.178557,15.255464,1.402925e-05,7.582338e-06,1.402926e-05,7.582338e-06,1.400152e-05,7.565300e-06,1.400152e-05,7.565302e-06,0.000000e+00,0.000000e+00,Simple
Trajectory (20x降采样),4850,16.620000,16.233196,19.049485,17.584742,22.094433,1.397866e-05,7.551099e-06,1.397865e-05,7.551099e-06,1.387344e-05,7.561254e-06,1.387338e-05,7.561259e-06,0.000000e+00,0.000000e+00,Simple
Trajectory (40x降采样),2425,22.256495,21.655670,23.415258,23.802887,29.402062,1.394426e-05,7.741863e-06,1.394426e-05,7.741863e-06,1.371860e-05,7.563818e-06,1.371884e-05,7.563825e-06,0.000000e+00,0.000000e+00,Simple
