Dataset,Points,TrajSP_BPP,Adaptive_BPP,Simple_BPP,QT_BPP,Linear_BPP,Curve_BPP,TrajSP_MaxErr,TrajSP_AvgErr,Adaptive_MaxErr,Adaptive_AvgErr,Simple_MaxErr,Simple_AvgErr,QT_MaxErr,QT_AvgErr,Linear_MaxErr,Linear_AvgErr,Curve_MaxErr,Curve_AvgErr,Best
Geolife (原始),100000,71.535520,7.234900,73.579780,9.570900,7.180220,9.725580,1.412210e-05,7.640215e-06,1.410030e-05,7.638760e-06,1.409972e-05,7.638759e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,Linear
Geolife (5x降采样),20000,78.816850,14.466000,80.268550,16.256100,15.404900,18.882200,1.404903e-05,7.637560e-06,1.407149e-05,7.638125e-06,1.407149e-05,7.638125e-06,1.407149e-05,7.658790e-06,1.407501e-05,7.658799e-06,0.000000e+00,0.000000e+00,Adaptive
Geolife (10x降采样),10000,82.680700,18.122900,83.721500,19.694600,19.506400,23.433200,1.406129e-05,7.635311e-06,1.407149e-05,7.647663e-06,1.407149e-05,7.647663e-06,1.402900e-05,7.663327e-06,1.403124e-05,7.663322e-06,0.000000e+00,0.000000e+00,Adaptive
Geolife (20x降采样),5000,86.829400,22.205800,87.437800,23.400800,23.926400,27.758000,1.394695e-05,7.591693e-06,1.407149e-05,7.654693e-06,1.407149e-05,7.654693e-06,1.402900e-05,7.663004e-06,1.402961e-05,7.663002e-06,0.000000e+00,0.000000e+00,Adaptive
Geolife (40x降采样),2500,90.816000,26.100800,91.085200,27.000000,28.289600,32.188800,1.393231e-05,7.660584e-06,1.397269e-05,7.644169e-06,1.397269e-05,7.644169e-06,1.390207e-05,7.641132e-06,1.390214e-05,7.641133e-06,0.000000e+00,0.000000e+00,Adaptive
Track (原始),63530,69.884039,6.338108,73.805824,9.791720,6.274799,10.042405,1.409778e-05,7.622923e-06,1.411749e-05,7.691543e-06,1.411385e-05,7.691602e-06,1.405728e-05,7.680864e-06,1.405592e-05,7.680837e-06,0.000000e+00,0.000000e+00,Linear
Track (5x降采样),12706,76.517944,12.414371,80.942783,16.913584,12.993232,15.162600,1.408373e-05,7.645869e-06,1.411386e-05,7.702719e-06,1.411385e-05,7.702718e-06,1.402911e-05,7.674757e-06,1.402920e-05,7.674746e-06,0.000000e+00,0.000000e+00,Adaptive
Track (10x降采样),6353,81.586809,16.840548,84.712577,20.681568,18.236424,20.865418,1.396672e-05,7.597687e-06,1.411385e-05,7.708888e-06,1.411385e-05,7.708888e-06,1.400083e-05,7.664687e-06,1.400082e-05,7.664674e-06,0.000000e+00,0.000000e+00,Adaptive
Track (20x降采样),3177,87.106075,22.261882,89.206799,25.146994,23.991816,27.785962,1.399873e-05,7.633557e-06,1.404315e-05,7.768364e-06,1.404315e-05,7.768364e-06,1.400083e-05,7.721002e-06,1.400083e-05,7.721011e-06,0.000000e+00,0.000000e+00,Adaptive
Track (40x降采样),1589,92.402769,27.507237,94.168030,30.042794,29.053493,33.215859,1.377758e-05,7.664286e-06,1.404315e-05,7.773479e-06,1.404315e-05,7.773479e-06,1.400083e-05,7.772731e-06,1.400084e-05,7.772730e-06,0.000000e+00,0.000000e+00,Adaptive
Trajectory (原始),97009,72.111649,7.357018,74.979239,10.965890,7.494954,10.602913,1.408898e-05,7.610548e-06,1.405490e-05,7.599437e-06,1.407149e-05,7.599208e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,Adaptive
Trajectory (5x降采样),19402,75.636996,11.626379,79.848830,15.829811,11.723946,14.001031,1.410383e-05,7.653463e-06,1.404365e-05,7.615084e-06,1.404368e-05,7.615083e-06,1.401492e-05,7.587379e-06,1.401535e-05,7.587358e-06,0.000000e+00,0.000000e+00,Adaptive
Trajectory (10x降采样),9701,75.898876,11.677971,79.630966,15.605195,12.177507,15.266880,1.405967e-05,7.493840e-06,1.404368e-05,7.582091e-06,1.404368e-05,7.582091e-06,1.400152e-05,7.565037e-06,1.400152e-05,7.565040e-06,0.000000e+00,0.000000e+00,Adaptive
Trajectory (20x降采样),4851,80.577613,16.241806,83.103896,19.045970,17.581530,22.115852,1.393779e-05,7.553560e-06,1.400083e-05,7.555110e-06,1.400083e-05,7.555110e-06,1.387344e-05,7.560731e-06,1.387338e-05,7.560736e-06,0.000000e+00,0.000000e+00,Adaptive
Trajectory (40x降采样),2426,86.197444,21.691261,87.504534,23.407255,23.793899,29.360264,1.386065e-05,7.695223e-06,1.390294e-05,7.517848e-06,1.390293e-05,7.517848e-06,1.371860e-05,7.562770e-06,1.371884e-05,7.562777e-06,0.000000e+00,0.000000e+00,Adaptive
