Window_Size,Geolife (原始),Geolife (5x降采样),Geolife (10x降采样),Geolife (20x降采样),Geolife (40x降采样),Track (原始),Track (5x降采样),Track (10x降采样),Track (20x降采样),Track (40x降采样),Trajectory (原始),Trajectory (5x降采样),Trajectory (10x降采样),Trajectory (20x降采样),Trajectory (40x降采样),Average_BPP
16,7.205232,14.517426,18.174317,22.290058,26.138856,6.292969,12.460055,16.853589,22.259446,27.510076,7.304985,11.592804,11.721959,16.298144,21.742680,16.157506
32,7.203772,14.455673,18.126713,22.209842,26.026811,6.301689,12.405352,16.794710,22.195529,27.468514,7.304336,11.572857,11.679794,16.244948,21.659794,16.110022
48,7.207922,14.459373,18.121112,22.160032,26.026811,6.300745,12.372924,16.792191,22.195529,27.468514,7.304851,11.582032,11.649897,16.296907,21.717938,16.110452
64,7.203592,14.442022,18.102310,22.149630,26.026811,6.284626,12.368123,16.779597,22.195529,27.468514,7.308140,11.601309,11.617113,16.246598,21.638763,16.095512
72,7.199612,14.425221,18.117412,22.149630,26.026811,6.280722,12.354821,16.779597,22.195529,27.468514,7.306975,11.584403,11.630000,16.205155,21.638763,16.090878
80,7.200762,14.430622,18.102010,22.149630,26.026811,6.276362,12.355608,16.779597,22.195529,27.468514,7.305243,11.585846,11.637320,16.213814,21.638763,16.091095
84,7.191312,14.431072,18.104110,22.149630,26.026811,6.275559,12.354585,16.779597,22.195529,27.468514,7.303996,11.592186,11.659381,16.232577,21.638763,16.093575
88,7.198682,14.424871,18.093509,22.149630,26.026811,6.275669,12.355372,16.779597,22.195529,27.468514,7.302882,11.593011,11.650000,16.212371,21.638763,16.091014
92,7.197892,14.414671,18.103010,22.182436,26.026811,6.275795,12.354506,16.779597,22.195529,27.468514,7.313521,11.613113,11.641031,16.226186,21.638763,16.095425
96,7.197302,14.421471,18.093509,22.149630,26.026811,6.275921,12.347658,16.779597,22.195529,27.468514,7.309830,11.605175,11.652371,16.221237,21.638763,16.092221
112,7.197772,14.430222,18.093509,22.149630,26.026811,6.276142,12.346714,16.779597,22.195529,27.468514,7.317933,11.598835,11.629794,16.177526,21.638763,16.088486
128,7.195362,14.415421,18.093509,22.149630,26.026811,6.276598,12.350807,16.779597,22.195529,27.468514,7.317531,11.607701,11.666495,16.232990,21.638763,16.094351
144,7.194782,14.418721,18.093509,22.149630,26.026811,6.277007,12.343644,16.779597,22.195529,27.468514,7.335910,11.628473,11.627732,16.236701,21.638763,16.094355
160,7.196302,14.414471,18.093509,22.149630,26.026811,6.277448,12.337662,16.779597,22.195529,27.468514,7.329148,11.601825,11.629588,16.177526,21.638763,16.087755
176,7.205072,14.404820,18.093509,22.149630,26.026811,6.277826,12.337111,16.779597,22.195529,27.468514,7.338065,11.620380,11.635361,16.177526,21.638763,16.089901
192,7.197752,14.401470,18.093509,22.149630,26.026811,6.278251,12.340496,16.779597,22.195529,27.468514,7.330478,11.618834,11.649794,16.177526,21.638763,16.089797
