index,longitude,latitude,std_geohash_code,std_geohash_diff,std_geohash_abs_diff,mbr_geohash_code,mbr_geohash_diff,mbr_geohash_abs_diff,hilbert_code,hilbert_diff,hilbert_abs_diff
0,116.31845000,39.98468300,2034400847653414,0,0,367010899576,0,0,366721218414,0,0
1,116.31841700,39.98468600,2034400847642482,-10932,10932,367010899537,-39,39,366721218387,-27,27
2,116.31838500,39.98468800,2034400847642428,-54,54,367010899155,-382,382,366721218098,-289,289
3,116.31826300,39.98465500,2034400847641087,-1341,1341,367010893379,-5776,5776,366721206760,-11338,11338
4,116.31802600,39.98461100,2034400847637807,-3280,3280,367010890776,-2603,2603,366721207988,1228,1228
5,116.31776100,39.98460800,2034400847636526,-1281,1281,367010866354,-24422,24422,366721201889,-6099,6099
6,116.31751700,39.98456300,2034400846934968,-701558,701558,367010857972,-8382,8382,366721188516,-13373,13373
7,116.31729400,39.98453900,2034400846931661,-3307,3307,367010507600,-350372,350372,366721023568,-164948,164948
8,116.31706500,39.98460600,2034400846932008,347,347,367010505741,-1859,1859,366721021603,-1965,1965
9,116.31691100,39.98456800,2034400846919343,-12665,12665,367010498933,-6808,6808,366721009647,-11956,11956
10,116.31671600,39.98458600,2034400846916959,-2384,2384,367010475683,-23250,23250,366721003864,-5783,5783
11,116.31652700,39.98456100,2034400846914552,-2407,2407,367010472830,-2853,2853,366721005801,1937,1937
12,116.31635400,39.98453600,2034400846870471,-44081,44081,367010466663,-6167,6167,366720992990,-12811,12811
13,116.31618800,39.98452300,2034400846869371,-1100,1100,367010464612,-2051,2051,366720991862,-1128,1128
14,116.31596300,39.98451600,2034400846866221,-3150,3150,367010376043,-88569,88569,366720957822,-34040,34040
15,116.31582300,39.98452300,2034400846865258,-963,963,367010374094,-1949,1949,366720956707,-1115,1115
16,116.31561100,39.98457400,2034400846855425,-9833,9833,367010368514,-5580,5580,366720944129,-12578,12578
17,116.31540700,39.98456800,2034400846852847,-2578,2578,367010343895,-24619,24619,366720941718,-2411,2411
18,116.31514800,39.98453800,2034400846848973,-3874,3874,367010341223,-2672,2672,366720940406,-1312,1312
19,116.31490700,39.98450100,2034400846673502,-175471,175471,367010333495,-7728,7728,366720926252,-14154,14154
20,116.31480800,39.98453200,2034400846672839,-663,663,367010332999,-496,496,366720926028,-224,224
21,116.31462500,39.98450400,2034400846669643,-3196,3196,367004738487,-5594512,5594512,366719539430,-1386598,1386598
22,116.31442600,39.98448500,2034400846668560,-1083,1083,367004732211,-6276,6276,366719542408,2978,2978
23,116.31424000,39.98442700,2034400846656803,-11757,11757,367004729940,-2271,2271,366719543804,1396,1396
24,116.31404200,39.98448500,2034400846656080,-723,723,367004707219,-22721,22721,366719565266,21462,21462
25,116.31381800,39.98448000,2034400846652591,-3489,3489,367004699569,-7650,7650,366719561419,-3847,3847
26,116.31365900,39.98450100,2034400846651931,-660,660,367004697527,-2042,2042,366719559748,-1671,1671
27,116.31432300,39.98461800,2034400846669955,18024,18024,367004732435,34908,34908,366719541912,-17836,17836
28,116.31410700,39.98464900,2034400846658025,-11930,11930,367004708456,-23979,23979,366719564670,22758,22758
29,116.31394100,39.98462100,2034400846654918,-3107,3107,367004706355,-2101,2101,366719563656,-1014,1014
30,116.31372400,39.98465500,2034400846653867,-1051,1051,367004699849,-6506,6506,366719558189,-5467,5467
31,116.31352100,39.98468100,2034400846610021,-43846,43846,367004697682,-2167,2167,366719559259,1070,1070
32,116.31331100,39.98470800,2034400846609042,-979,979,367004608127,-89555,89555,366719770090,210831,210831
33,116.31309900,39.98470800,2034400846605267,-3775,3775,367004601591,-6536,6536,366719764652,-5438,5438
34,116.31292100,39.98469600,2034400846593903,-11364,11364,367004599516,-2075,2075,366719763634,-1018,1018
35,116.31274600,39.98467700,2034400846592869,-1034,1034,367004576890,-22626,22626,366719783493,19859,19859
36,116.31252500,39.98468200,2034400846589732,-3137,3137,367004569306,-7584,7584,366719787935,4442,4442
37,116.31233200,39.98464900,2034400846588156,-1576,1576,367004567138,-2168,2168,366719790553,2618,2618
38,116.31212300,39.98464100,2034400843791543,-2796613,2796613,367004216522,-350616,350616,366719809679,19126,19126
