range,std_geohash_count,std_geohash_percent,mbr_geohash_count,mbr_geohash_percent,hilbert_count,hilbert_percent
0,8286,8.29,9253,9.25,9253,9.25
1-10,8341,8.34,8853,8.85,9380,9.38
11-100,12583,12.58,13677,13.68,15428,15.43
101-1K,21780,21.78,24581,24.58,24648,24.65
1K-10K,24518,24.52,22190,22.19,20200,20.20
10K-100K,15703,15.70,12874,12.87,14203,14.20
100K-1M,5714,5.71,5538,5.54,4665,4.67
1M-10M,1936,1.94,2011,2.01,1250,1.25
10M-100M,906,0.91,845,0.85,485,0.49
100M-1B,155,0.16,129,0.13,464,0.46
>1B,76,0.08,47,0.05,22,0.02
