Dataset,WindowSize,Points,BPP,MaxError,AvgError,DecompressSuccess
Geolife (原始),16,99999,7.218002,1.411385e-05,7.649694e-06,TRUE
Geolife (原始),24,99999,7.205952,1.411384e-05,7.649693e-06,TRUE
Geolife (原始),32,99999,7.204092,1.411384e-05,7.649693e-06,TRUE
Geolife (原始),48,99999,7.208762,1.411384e-05,7.649693e-06,TRUE
Geolife (原始),64,99999,7.202982,1.411384e-05,7.649693e-06,TRUE
Geolife (原始),80,99999,7.201282,1.411384e-05,7.649694e-06,TRUE
Geolife (原始),96,99999,7.195022,1.411384e-05,7.649693e-06,TRUE
Geolife (原始),112,99999,7.194462,1.411384e-05,7.649695e-06,TRUE
Geolife (原始),128,99999,7.194802,1.411385e-05,7.649697e-06,TRUE
Geolife (原始),144,99999,7.194932,1.411385e-05,7.649696e-06,TRUE
Geolife (原始),160,99999,7.196962,1.411383e-05,7.649696e-06,TRUE
Geolife (原始),176,99999,7.204142,1.411384e-05,7.649699e-06,TRUE
Geolife (原始),192,99999,7.196962,1.411385e-05,7.649700e-06,TRUE
Geolife (5x降采样),16,19999,14.564728,1.407143e-05,7.646150e-06,TRUE
Geolife (5x降采样),24,19999,14.515326,1.407144e-05,7.646150e-06,TRUE
Geolife (5x降采样),32,19999,14.484474,1.407143e-05,7.646150e-06,TRUE
Geolife (5x降采样),48,19999,14.476824,1.407143e-05,7.646150e-06,TRUE
Geolife (5x降采样),64,19999,14.455823,1.407144e-05,7.646150e-06,TRUE
Geolife (5x降采样),80,19999,14.440272,1.407145e-05,7.646150e-06,TRUE
Geolife (5x降采样),96,19999,14.431072,1.407144e-05,7.646150e-06,TRUE
Geolife (5x降采样),112,19999,14.434772,1.407144e-05,7.646150e-06,TRUE
Geolife (5x降采样),128,19999,14.430972,1.407143e-05,7.646150e-06,TRUE
Geolife (5x降采样),144,19999,14.425221,1.407144e-05,7.646150e-06,TRUE
Geolife (5x降采样),160,19999,14.420671,1.407143e-05,7.646150e-06,TRUE
Geolife (5x降采样),176,19999,14.410871,1.407143e-05,7.646150e-06,TRUE
Geolife (5x降采样),192,19999,14.407070,1.407143e-05,7.646150e-06,TRUE
Geolife (10x降采样),16,9999,18.236824,1.400097e-05,7.629130e-06,TRUE
Geolife (10x降采样),24,9999,18.211921,1.400097e-05,7.629130e-06,TRUE
Geolife (10x降采样),32,9999,18.159316,1.400097e-05,7.629130e-06,TRUE
Geolife (10x降采样),48,9999,18.140814,1.400097e-05,7.629130e-06,TRUE
Geolife (10x降采样),64,9999,18.118712,1.400097e-05,7.629130e-06,TRUE
Geolife (10x降采样),80,9999,18.115212,1.400097e-05,7.629130e-06,TRUE
Geolife (10x降采样),96,9999,18.105511,1.400097e-05,7.629130e-06,TRUE
Geolife (10x降采样),112,9999,18.104010,1.400097e-05,7.629130e-06,TRUE
Geolife (10x降采样),128,9999,18.102910,1.400097e-05,7.629130e-06,TRUE
Geolife (10x降采样),144,9999,18.102010,1.400097e-05,7.629130e-06,TRUE
Geolife (10x降采样),160,9999,18.101310,1.400097e-05,7.629130e-06,TRUE
Geolife (10x降采样),176,9999,18.100710,1.400097e-05,7.629130e-06,TRUE
Geolife (10x降采样),192,9999,18.100310,1.400097e-05,7.629130e-06,TRUE
Geolife (20x降采样),16,4999,22.340668,1.408560e-05,7.646054e-06,TRUE
Geolife (20x降采样),24,4999,22.260652,1.408560e-05,7.646054e-06,TRUE
Geolife (20x降采样),32,4999,22.251250,1.408560e-05,7.646054e-06,TRUE
Geolife (20x降采样),48,4999,22.182436,1.408560e-05,7.646054e-06,TRUE
Geolife (20x降采样),64,4999,22.168434,1.408560e-05,7.646054e-06,TRUE
Geolife (20x降采样),80,4999,22.165233,1.408560e-05,7.646054e-06,TRUE
Geolife (20x降采样),96,4999,22.163233,1.408560e-05,7.646054e-06,TRUE
Geolife (20x降采样),112,4999,22.161632,1.408560e-05,7.646054e-06,TRUE
Geolife (20x降采样),128,4999,22.160632,1.408560e-05,7.646054e-06,TRUE
Geolife (20x降采样),144,4999,22.159632,1.408560e-05,7.646054e-06,TRUE
Geolife (20x降采样),160,4999,22.159032,1.408560e-05,7.646054e-06,TRUE
Geolife (20x降采样),176,4999,22.158432,1.408560e-05,7.646054e-06,TRUE
Geolife (20x降采样),192,4999,22.158032,1.408560e-05,7.646054e-06,TRUE
Geolife (40x降采样),16,2499,26.209684,1.372140e-05,7.671289e-06,TRUE
Geolife (40x降采样),24,2499,26.074830,1.372140e-05,7.671289e-06,TRUE
Geolife (40x降采样),32,2499,26.064426,1.372140e-05,7.671289e-06,TRUE
Geolife (40x降采样),48,2499,26.054022,1.372140e-05,7.671289e-06,TRUE
Geolife (40x降采样),64,2499,26.048820,1.372140e-05,7.671289e-06,TRUE
Geolife (40x降采样),80,2499,26.045618,1.372140e-05,7.671289e-06,TRUE
Geolife (40x降采样),96,2499,26.043617,1.372140e-05,7.671289e-06,TRUE
Geolife (40x降采样),112,2499,26.042017,1.372140e-05,7.671289e-06,TRUE
Geolife (40x降采样),128,2499,26.040816,1.372140e-05,7.671289e-06,TRUE
Geolife (40x降采样),144,2499,26.040016,1.372140e-05,7.671289e-06,TRUE
Geolife (40x降采样),160,2499,26.039216,1.372140e-05,7.671289e-06,TRUE
Geolife (40x降采样),176,2499,26.038816,1.372140e-05,7.671289e-06,TRUE
Geolife (40x降采样),192,2499,26.038415,1.372140e-05,7.671289e-06,TRUE
Track (原始),16,63529,6.348046,1.410025e-05,7.610860e-06,TRUE
Track (原始),24,63529,6.332840,1.410003e-05,7.610859e-06,TRUE
Track (原始),32,63529,6.326292,1.409984e-05,7.610860e-06,TRUE
Track (原始),48,63529,6.319759,1.409979e-05,7.610858e-06,TRUE
Track (原始),64,63529,6.303672,1.409920e-05,7.610855e-06,TRUE
Track (原始),80,63529,6.293582,1.410104e-05,7.610847e-06,TRUE
Track (原始),96,63529,6.286515,1.410821e-05,7.610831e-06,TRUE
Track (原始),112,63529,6.285256,1.410676e-05,7.610835e-06,TRUE
Track (原始),128,63529,6.284594,1.410720e-05,7.610835e-06,TRUE
Track (原始),144,63529,6.284138,1.410720e-05,7.610835e-06,TRUE
Track (原始),160,63529,6.283886,1.410751e-05,7.610833e-06,TRUE
Track (原始),176,63529,6.283681,1.410783e-05,7.610834e-06,TRUE
