数据集,采样率,点数,LDR,CP,ZP,三预测器,Serf-QT,最优方法
Geolife,原始 (1/1),100000,7.18,8.83,9.56,7.53,9.82,LDR
Geolife,1/5,20000,15.37,18.08,16.25,14.80,15.37,三预测器
Geolife,1/10,10000,19.47,23.45,19.88,18.57,19.47,三预测器
Geolife,1/20,5000,23.88,28.73,23.90,22.75,23.88,三预测器
Geolife,1/40,2500,28.24,34.36,28.43,26.64,28.24,三预测器
Track,原始 (1/1),63530,6.26,7.99,7.81,7.11,9.20,LDR
Track,1/5,12706,12.97,15.80,13.68,12.61,12.97,三预测器
Track,1/10,6353,18.22,22.40,18.57,17.18,18.22,三预测器
Track,1/20,3177,23.95,29.80,24.15,22.75,23.95,三预测器
Track,1/40,1589,28.98,36.33,29.44,28.04,28.98,三预测器
Trajtory,原始 (1/1),97009,8.61,15.37,11.84,8.40,10.97,三预测器
Trajtory,1/5,19402,14.76,17.50,16.07,12.60,15.83,三预测器
Trajtory,1/10,9701,16.41,20.05,17.86,13.07,15.61,三预测器
Trajtory,1/20,4851,21.67,26.38,22.85,17.98,19.05,三预测器
Trajtory,1/40,2426,28.23,35.47,29.06,23.81,23.41,Serf-QT
