三数据集实验

数据集,采样率,点数,LDR(bits/点),CP(bits/点),ZP(bits/点),三预测器(bits/点),Serf-QT(bits/点),三预测器 vs LDR(%),三预测器 vs Serf-QT(%)
Geolife,原始 (1/1),100000,7.18,8.83,9.56,7.53,9.82,-4.9,+23.3
Geolife,1/5,20000,15.37,18.08,16.25,14.80,15.37,+3.7,+3.7
Geolife,1/10,10000,19.47,23.45,19.88,18.57,19.47,+4.6,+4.6
Geolife,1/20,5000,23.88,28.73,23.90,22.75,23.88,+4.7,+4.7
Geolife,1/40,2500,28.24,34.36,28.43,26.64,28.24,+5.7,+5.7
Track,原始 (1/1),63530,6.26,7.99,7.81,7.11,9.20,-13.6,+22.7
Track,1/5,12706,12.97,15.80,13.68,12.61,12.97,+2.8,+2.8
Track,1/10,6353,18.22,22.40,18.57,17.18,18.22,+5.7,+5.7
Track,1/20,3177,23.95,29.80,24.15,22.75,23.95,+5.0,+5.0
Track,1/40,1589,28.98,36.33,29.44,28.04,28.98,+3.2,+3.2
Trajtory,原始 (1/1),97009,8.61,15.37,11.84,8.40,10.97,+2.4,+23.4
Trajtory,1/5,19402,14.76,17.50,16.07,12.60,15.83,+14.6,+20.4
Trajtory,1/10,9701,16.41,20.05,17.86,13.07,15.61,+20.4,+16.3
Trajtory,1/20,4851,21.67,26.38,22.85,17.98,19.05,+17.0,+5.6
Trajtory,1/40,2426,28.23,35.47,29.06,23.81,23.41,+15.7,-1.7

数据集摘要统计

Geolife 数据集
采样率,LDR,CP,ZP,三预测器,Serf-QT,最优方法
原始 (1/1),7.18,8.83,9.56,7.53,9.82,LDR
1/5,15.37,18.08,16.25,14.80,15.37,三预测器
1/10,19.47,23.45,19.88,18.57,19.47,三预测器
1/20,23.88,28.73,23.90,22.75,23.88,三预测器
1/40,28.24,34.36,28.43,26.64,28.24,三预测器

Track 数据集
采样率,LDR,CP,ZP,三预测器,Serf-QT,最优方法
原始 (1/1),6.26,7.99,7.81,7.11,9.20,LDR
1/5,12.97,15.80,13.68,12.61,12.97,三预测器
1/10,18.22,22.40,18.57,17.18,18.22,三预测器
1/20,23.95,29.80,24.15,22.75,23.95,三预测器
1/40,28.98,36.33,29.44,28.04,28.98,三预测器

Trajtory 数据集
采样率,LDR,CP,ZP,三预测器,Serf-QT,最优方法
原始 (1/1),8.61,15.37,11.84,8.40,10.97,三预测器
1/5,14.76,17.50,16.07,12.60,15.83,三预测器
1/10,16.41,20.05,17.86,13.07,15.61,三预测器
1/20,21.67,26.38,22.85,17.98,19.05,三预测器
1/40,28.23,35.47,29.06,23.81,23.41,Serf-QT


